action,tick,distance_cells,heading_change_radians
RIGHT,steady,2.4057155577020817,-0.8736436286393285
STRAIGHT,pre-pulse,2.406313802651631,0.00017362174920410034
LEFT,1,2.6241746295498083,0.7677631326419507
LEFT,2,2.4057511257113395,0.8375448983971561
LEFT,3,2.624197856721026,0.9073601942412646
LEFT,4,2.4057144072537477,0.8375527823960613
LEFT,5,2.624183761673436,0.9073491645742369
LEFT,steady,2.405711857558071,0.8550045510509516
LEFT,steady,2.405717503981749,0.8899039540748888
LEFT,steady,2.405726134751224,0.8375530059449403
LEFT,steady,2.624207778240986,0.872466302930917
STRAIGHT,pre-pulse,2.4061487290472576,-4.617040218590773e-06
RIGHT,1,2.405720131920676,-0.6755768964649684
RIGHT,2,2.6241713293273805,-0.908576040406444
RIGHT,3,2.4057060410237576,-0.8387183354635686
RIGHT,4,2.624191034487281,-0.9086001906157715
RIGHT,5,2.405723258305843,-0.8386974540144854
RIGHT,steady,2.624205472914719,-0.9085857015277465
RIGHT,steady,2.405723588871725,-0.8387105346124422
RIGHT,steady,2.624195604565341,-0.908532108568096
RIGHT,steady,2.405723260494786,-0.6639263772252111
STRAIGHT,pre-pulse,2.625007412353342,-1.5014633520937792e-06
LEFT,1,2.4057205041218785,0.7503133435267331
LEFT,2,2.6242043900317817,0.8899061525942618
LEFT,3,2.4057285275519975,0.8550051772828449
LEFT,4,2.624181020162617,0.889904220492352
LEFT,5,2.405719207433883,0.8375477728205691
LEFT,steady,2.4057262485915776,0.8898987078899072
LEFT,steady,2.405737337094902,0.872437035824825
LEFT,steady,2.405750791523691,0.8550122473651376
LEFT,steady,2.405717439056132,0.7777245320063688
STRAIGHT,pre-pulse,2.624978654968735,-2.3983991059850496e-07
RIGHT,1,2.4057090718606644,-0.7163807490661722
RIGHT,2,2.6241793816722714,-0.8910483882451445
RIGHT,3,2.4057201562938086,-0.8561841430794801
RIGHT,4,2.6241937047872432,-0.8911173747447942
RIGHT,5,2.405738611342154,-0.8561810924221067
RIGHT,steady,2.624227673997852,-0.8911334265287252
RIGHT,steady,2.405745544778515,-0.8561724233438532
RIGHT,steady,2.6241932146741647,-0.891104097890242
RIGHT,steady,2.405696151782089,-0.8560824020273099
STRAIGHT,pre-pulse,2.6249796638236944,2.964604596922271e-06
LEFT,1,2.40572746914624,0.7677541341573866
LEFT,2,2.1872361016917563,0.8724541750438262
LEFT,3,2.4049209426843925,0.8724458870393259
LEFT,4,2.1872286115124924,0.8375516256832091
LEFT,5,2.405720308607753,0.9073558063766946
LEFT,steady,2.1872294690972067,0.872447897380288
LEFT,steady,2.624194355198164,0.8724490710668045
