elapsed_s,player_x,player_z,forward,left,right,jump,focused
7.74042,254.48865,99.92059,1,0,0,0,1
7.76032,254.52586,100.26861,1,0,0,0,1
7.78019,254.56308,100.61662,1,0,0,0,1
7.80021,254.63751,101.31265,1,0,0,0,1
7.82030,254.67473,101.66067,1,0,0,0,1
7.84041,254.71194,102.00868,1,0,0,0,1
7.86015,254.74916,102.35670,1,0,0,0,1
7.88056,254.78638,102.70471,1,0,0,0,1
7.90021,254.86081,103.40074,1,0,0,0,1
7.92028,254.93524,104.09677,1,0,0,0,1
7.94047,254.97246,104.44479,1,0,0,0,1
7.96013,255.00967,104.79280,1,0,0,0,1
7.98025,255.04689,105.14082,1,0,0,0,1
8.00047,255.12132,105.83685,1,0,0,0,1
8.02012,255.15854,106.18486,1,0,0,0,1
8.04022,255.19576,106.53288,1,0,0,0,1
8.06037,255.23297,106.88089,1,0,0,0,1
8.08024,255.27019,107.22890,1,0,0,0,1
8.10006,255.34462,107.92493,1,0,0,0,1
8.12040,255.38184,108.27295,1,0,0,0,1
8.14010,255.41905,108.62096,1,0,0,0,1
8.16031,255.45627,108.96898,1,0,0,0,1
8.18023,255.49348,109.31699,1,0,0,0,1
8.20003,255.56792,110.01302,1,0,0,0,1
8.22108,255.60513,110.36104,1,0,0,0,1
8.24049,255.60513,110.36104,1,0,0,0,1
8.26028,255.71678,111.40508,1,0,0,0,1
8.28039,255.71678,111.40508,1,0,0,0,1
8.30023,255.79121,112.10111,1,0,0,0,1
8.32019,255.86565,112.79714,1,0,0,0,1
8.34027,255.90286,113.14516,1,0,0,0,1
8.36018,255.94008,113.49317,1,0,0,0,1
8.38007,255.97729,113.84119,1,0,0,0,1
8.40022,256.05170,114.53722,1,0,0,0,1
8.42046,256.08890,114.88523,1,0,0,0,1
8.44019,256.12610,115.23325,1,0,0,0,1
8.46052,256.16330,115.58126,1,0,0,0,1
8.48018,256.20050,115.92928,1,0,0,0,1
8.50043,256.27490,116.62531,1,0,0,0,1
8.52038,256.31210,116.97332,1,0,0,0,1
8.54009,256.34930,117.32133,1,0,0,0,1
8.56029,256.38651,117.66935,1,0,0,0,1
8.58053,256.42371,118.01736,1,0,0,0,1
8.60029,256.49811,118.71339,1,0,0,0,1
8.62079,256.53531,119.06141,1,0,1,0,1
8.64013,256.57251,119.40942,1,0,1,0,1
8.66040,256.63394,119.75399,1,0,1,0,1
8.68003,256.71927,120.09343,1,0,1,0,1
8.70019,256.95990,120.75031,1,0,0,0,1
8.72048,257.28970,121.36726,1,0,0,0,1
8.74015,257.46539,121.66998,1,0,0,0,1
8.76031,257.64108,121.97269,1,0,0,0,1
8.78048,257.81677,122.27540,1,0,0,0,1
8.80022,258.16815,122.88082,1,0,0,0,1
8.82035,258.34384,123.18353,1,0,0,0,1
8.84053,258.51953,123.48624,1,0,0,0,1
8.86009,258.69522,123.78896,1,0,0,0,1
8.88030,258.87091,124.09167,1,0,0,0,1
8.90013,259.22229,124.69709,1,0,0,0,1
8.92013,259.39798,124.99980,1,0,0,0,1
8.94034,259.57367,125.30251,1,0,0,0,1
8.96024,259.74936,125.60522,1,0,0,0,1
8.98046,259.92505,125.90794,1,0,0,0,1
9.00052,260.27643,126.51336,1,0,0,0,1
9.02047,260.45212,126.81607,1,0,0,0,1
9.04022,260.62781,127.11878,1,0,0,0,1
9.06014,260.80350,127.42149,1,0,0,0,1
9.08007,260.97919,127.72421,1,0,0,0,1
9.10046,261.33057,128.32962,1,0,0,0,1
9.12015,261.68195,128.93503,1,0,0,0,1
9.14041,261.85764,129.23773,1,0,0,0,1
9.16015,262.03333,129.54044,1,0,0,0,1
9.18046,262.20901,129.84314,1,0,0,0,1
9.20016,262.56039,130.44855,1,0,0,0,1
9.22015,262.73608,130.75125,1,0,0,0,1
9.24020,262.91177,131.05396,1,0,0,0,1
9.26020,263.08746,131.35666,1,0,0,0,1
9.28020,263.26315,131.65936,1,0,0,0,1
9.30013,263.61453,132.26477,1,0,0,0,1
9.32009,263.79022,132.56747,1,1,0,0,1
9.34024,263.96591,132.87018,1,1,0,0,1
9.36043,264.12006,133.18440,1,1,0,0,1
9.38021,264.25192,133.50862,1,1,0,0,1
9.40051,264.44632,134.18063,1,1,0,0,1
9.42005,264.50790,134.52518,1,1,0,0,1
9.44050,264.54532,134.87317,1,1,0,0,1
9.46028,264.55838,135.22293,1,0,0,0,1
9.48054,264.51126,135.92091,1,0,0,0,1
9.50030,264.47552,136.26909,1,0,0,0,1
9.52010,264.40405,136.96544,1,0,0,0,1
9.54053,264.36832,137.31361,1,0,0,0,1
9.56046,264.33258,137.66179,1,0,0,0,1
9.58024,264.29684,138.00996,1,0,0,0,1
9.60052,264.22537,138.70631,1,0,0,0,1
9.62017,264.18964,139.05449,1,0,0,0,1
9.64048,264.15390,139.40266,1,0,0,0,1
9.66045,264.11816,139.75084,1,0,0,0,1
9.68046,264.08243,140.09901,1,0,0,0,1
9.70033,264.01096,140.79536,1,0,0,0,1
9.72050,263.97522,141.14354,1,0,0,0,1
9.74043,263.93948,141.49171,1,0,0,0,1
9.76020,263.90375,141.83989,1,0,0,0,1
9.78050,263.86801,142.18806,1,0,0,0,1
9.80063,263.79654,142.88441,1,0,0,0,1
9.82007,263.76080,143.23259,1,0,0,0,1
9.84014,263.72507,143.58076,1,0,0,0,1
9.86031,263.68933,143.92894,1,0,0,0,1
9.88020,263.65359,144.27711,1,0,0,0,1
9.90054,263.58212,144.97346,1,0,0,0,1
9.92039,263.51065,145.66982,1,0,0,0,1
9.94021,263.47491,146.01799,1,0,0,0,1
9.96040,263.43918,146.36617,1,0,0,0,1
9.98009,263.43918,146.36617,1,0,0,0,1
10.00039,263.36771,147.06252,1,0,0,0,1
10.02030,263.29623,147.75887,1,0,0,0,1
10.04037,263.26050,148.10704,1,0,0,0,1
10.06006,263.22476,148.45522,1,0,0,0,1
10.08028,263.18903,148.80339,1,0,0,0,1
10.10022,263.11755,149.49974,1,0,0,0,1
10.12018,263.08182,149.84792,1,0,0,0,1
10.14043,263.04608,150.19609,1,0,0,0,1
10.16006,263.01035,150.54427,1,0,0,0,1
10.18014,262.97461,150.89244,1,0,0,0,1
10.20066,262.90314,151.58879,1,0,0,0,1
10.22031,262.86740,151.93697,1,0,0,0,1
10.24049,262.79593,152.63332,1,0,0,0,1
10.26031,262.76019,152.98149,1,0,1,0,1
10.28060,262.72446,153.32967,1,0,1,0,1
10.30036,262.71310,153.67949,1,0,1,0,1
10.32052,262.76373,154.37721,1,0,1,0,1
10.34026,262.82544,154.72173,1,0,1,0,1
10.36034,262.91107,155.06110,1,0,0,0,1
10.38037,263.02020,155.39365,1,0,0,0,1
10.40050,263.23846,156.05875,1,0,0,0,1
10.42045,263.34760,156.39130,1,0,0,0,1
10.44010,263.45673,156.72385,1,0,0,0,1
10.46017,263.56586,157.05640,1,0,0,0,1
10.48053,263.67499,157.38895,1,0,0,0,1
10.50038,263.89325,158.05405,1,0,0,0,1
10.52004,264.00238,158.38660,1,0,0,0,1
10.54042,264.11151,158.71915,1,0,0,0,1
10.56054,264.22064,159.05170,1,0,0,0,1
10.58047,264.32977,159.38425,1,0,0,0,1
10.60017,264.54803,160.04935,1,0,0,0,1
10.62021,264.65717,160.38190,1,0,0,0,1
10.64007,264.76630,160.71445,1,0,0,0,1
10.66009,264.87543,161.04700,1,0,0,0,1
10.68022,265.09369,161.71210,1,0,0,0,1
10.70047,265.20282,162.04465,1,0,0,0,1
10.72009,265.42108,162.70975,1,0,0,0,1
10.74017,265.53021,163.04230,1,0,0,0,1
10.76036,265.63934,163.37485,1,0,0,0,1
10.78053,265.74847,163.70740,1,0,0,0,1
10.80013,265.96674,164.37250,1,0,0,0,1
10.82032,266.07587,164.70505,1,0,0,0,1
10.84030,266.18500,165.03760,1,0,0,0,1
10.86053,266.29413,165.37015,1,0,0,0,1
