category	path	sha256	observation_shape	action_space	policy_module	policy_qualname	metadata_version	lineage_or_role_evidence	pre_phase2_reference	uniquely_selected_by_existing_evidence
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_060k.zip	07eb2dfd8249da6bf62c5fa07cab9b45de340301eb89f3200d35b7d8f35d7d79	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=060	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_060k_rehearsed.zip	97318e029e48829725f462b2190a68605c44e5fd419f4a8d20e2d1f879bf150c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_070k.zip	70c4852f2690ddfbf740b48ca54643d91a6be8137220525016fb70232f9b3a66	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=070	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_070k_rehearsed.zip	335645801ad55125aec2425ca57d3c6e716440c8e435e272489588f03f749119	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_080k.zip	81c81c36f3d07286c9036730cf5de5bf36fbbea293959ddc3b703a883b1f316a	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=080	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_080k_rehearsed.zip	a24b5f1dfaa8fb518a21eb542fe7df9b963db9f0ae62fd6a67f2f57fe6925695	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_090k.zip	b99df1bfe966fce50da2938dd700f217dd86cd231bfe4b53fc5943cdce825161	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=090	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_090k_rehearsed.zip	9460ff442da213f4c258c7ed12b8f87956b9bb2bf556ee46fe50ab8674321f75	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_100k.zip	214b1982afde221d73db3290e89b1649b900641b820b3606e0b04debca368357	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=100	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_100k_rehearsed.zip	ea0e34d9eb0c38fa98898dde7c41e793876a633b30598d4712431ec8fc2af1e4	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
