action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
STRAIGHT,0.12027999999997974,7,1.7049596874520183,-7.105427357601002e-15,True
RIGHT,0.1400899999999865,8,1.9175927732883191,-0.1980832241321635,True
LEFT,0.1400600000000054,8,1.7047280827473372,0.13959361344632115,True
STRAIGHT,0.13980000000000814,8,1.70499219085343,3.7635089462639826e-06,True
RIGHT,0.10004000000000701,6,1.278490574496796,,True
LEFT,0.1204400000000021,7,1.704485536367431,0.13959309502144457,True
STRAIGHT,0.15967999999998028,9,2.131277589954531,-3.5394397528420996e-06,True
RIGHT,0.12008999999997627,7,1.4913544987448146,-0.10483873898781226,True
LEFT,0.14000999999998953,8,1.7047423490949376,0.1395932743618411,True
STRAIGHT,0.1400199999999927,8,1.9181520093209121,-1.65644582494906e-08,True
RIGHT,0.13982999999998924,8,1.7047436103470444,-0.12818292401474585,True
LEFT,0.11978999999999473,7,1.491615551957092,0.06979704768601191,True
STRAIGHT,0.12030999999998926,7,1.7050398870671706,0.0,True
RIGHT,0.13964999999998895,8,1.9178643190657945,-0.19808355640859654,True
LEFT,0.11957999999998492,7,1.4916209250562924,0.06979045309718468,True
STRAIGHT,0.1397399999999891,8,1.7050255421074567,4.440892098500626e-15,True
RIGHT,0.1399499999999989,8,1.7047370746746948,-0.13978780862061546,True
LEFT,0.1002900000000011,6,1.2784949938914896,,True
STRAIGHT,0.4799199999999928,25,6.180584225474077,1.109391509324098e-06,True
RIGHT,0.2602600000000166,14,3.409214795872531,-0.6988380845341561,True
LEFT,0.42024000000000683,22,5.752830493512149,1.4308271302132007,True
STRAIGHT,0.49990999999999985,26,6.393799006343371,-1.7588088485898101e-06,True
RIGHT,0.40003999999998996,21,5.326811910929484,-1.2813831909321436,True
LEFT,0.3801299999999799,20,4.9005957878740976,1.2214386741249068,True
STRAIGHT,0.4601600000000019,24,5.967456105915024,4.850641525028232e-06,True
RIGHT,0.28001999999997906,15,3.8354593551201175,-0.7938555398240152,True
LEFT,0.33987999999999374,18,4.474841016648575,1.0021365857773887,True
STRAIGHT,0.39993999999998664,21,5.114965441026162,-1.3038411330323907e-06,True
RIGHT,0.260249999999985,14,3.1963613548405805,-0.6290209897544637,True
LEFT,0.36006000000000427,19,4.900555205539804,1.1865361248035564,True
STRAIGHT,0.4602599999999768,24,6.18070483893334,2.9235924451365136e-06,True
RIGHT,0.259619999999984,14,3.409230948231037,-0.6639759470960488,True
LEFT,0.40026000000000295,21,5.113935991932058,1.256326663406253,True
STRAIGHT,0.37991000000002373,20,4.901947622032188,4.551351453940811e-06,True
RIGHT,0.36017000000001076,19,4.900325458275999,-1.1182757380580433,True
LEFT,0.24004999999999654,13,2.7701199953372395,0.5234793530176385,True
STRAIGHT,0.29994000000002075,16,3.8362332238334993,-1.0528606984028244e-06,True
RIGHT,0.17998000000000047,10,2.3438451180867794,-0.3494630122044602,True
LEFT,0.2802599999999984,15,3.6223559010689157,0.7677507344443293,True
STRAIGHT,0.27994999999998527,15,3.6231488304110493,-1.84297022087776e-14,True
RIGHT,0.24019000000001256,13,2.983218996361899,-0.5591445805263067,True
LEFT,0.2596100000000092,14,3.4092184788644597,0.6979771350728186,True
STRAIGHT,0.38017999999999574,20,5.115113194104116,-3.174379715087383e-06,True
RIGHT,0.22005000000001473,12,2.769077643129006,-0.47933141292934345,True
LEFT,0.3601500000000044,19,4.474848186061678,1.0469450707460797,True
STRAIGHT,0.3199199999999962,17,4.049422439258812,4.383632285165362e-06,True
RIGHT,0.37995999999998276,20,5.113708100098619,-1.2464558117163098,True
LEFT,0.3399000000000001,18,4.474593749208406,1.0469370074995548,True
STRAIGHT,0.30029000000001815,16,3.836296530273604,1.6978405699141774e-06,True
RIGHT,0.37982999999999834,20,5.1129087047755055,-1.2231041165504637,True
LEFT,0.3402100000000132,18,4.474593940617968,1.0120329289790486,True
STRAIGHT,0.5398099999999886,28,6.820010338924152,1.6431300764452317e-14,True
RIGHT,0.4398000000000195,23,5.965968942797298,-1.5260165897588576,True
LEFT,0.3200400000000059,17,4.047795222546723,0.9422411025957413,True
STRAIGHT,0.2601800000000196,14,3.410069709723414,-1.011996892730238e-06,True
RIGHT,0.3199700000000121,17,4.261449675233162,-0.9319468000612727,True
LEFT,0.39976000000001477,21,5.3268355060263035,1.32612488017939,True
STRAIGHT,0.420029999999997,22,5.541019916498195,-1.8858621353423644e-06,True
RIGHT,0.32018999999999664,17,4.47456797640925,-1.0018326101745767,True
LEFT,0.4803200000000061,25,6.179375356494199,1.6053311573838989,True
STRAIGHT,0.2796599999999785,15,3.836304317198981,-9.054174241462931e-07,True
