elapsed_s,player_x,player_z,forward,left,right,jump,focused
3.62051,253.00000,86.00000,0,0,0,0,0
3.64037,253.00000,86.00000,0,0,0,0,0
3.66008,253.00000,86.00000,0,0,0,0,0
3.68021,253.00000,86.00000,0,0,0,0,0
3.70034,253.00000,86.00000,0,0,0,0,0
3.72019,253.00000,86.00000,0,0,0,0,0
3.74029,253.00000,86.00000,0,0,0,0,0
3.76022,253.00000,86.00000,0,0,0,0,0
3.78037,253.00000,86.00000,0,0,0,0,0
3.80034,253.00000,86.00000,0,0,0,0,0
3.82015,253.00000,86.00000,0,0,0,0,0
3.84039,253.00000,86.00000,0,0,0,0,0
3.86014,253.00000,86.00000,0,0,0,0,0
3.88032,253.00000,86.00000,0,0,0,0,0
3.90052,253.00000,86.00000,0,0,0,0,0
3.92040,253.00000,86.00000,0,0,0,0,0
3.94029,253.00000,86.00000,0,0,0,0,0
3.96050,253.00000,86.00000,0,0,0,0,0
3.98042,253.00000,86.00000,0,0,0,0,0
4.00044,253.00000,86.00000,0,0,0,0,0
4.02012,253.00000,86.00000,0,0,0,0,0
4.04031,253.00000,86.00000,0,0,0,0,0
4.06052,253.00000,86.00000,0,0,0,0,0
4.08013,253.00000,86.00000,0,0,0,0,0
4.10031,253.00000,86.00000,0,0,0,0,0
4.12048,253.00000,86.00000,0,0,0,0,0
4.14018,253.00000,86.00000,0,0,0,0,0
4.16040,253.00000,86.00000,0,0,0,0,0
4.18032,253.00000,86.00000,0,0,0,0,0
4.20031,253.00000,86.00000,0,0,0,0,0
4.22035,253.00000,86.00000,0,0,0,0,0
4.24045,253.00000,86.00000,0,0,0,0,0
4.26051,253.00000,86.00000,0,0,0,0,0
