action,duration_s,distance_cells,heading_change_radians,focused_all,pre_speed_cells_per_sec,post_speed_early_cells_per_sec,post_heading_settle_radians
RIGHT,0.5399500000000046,7.435626653664625,-1.9220450155964637,True,13.672634423659055,13.007380554276901,-7.105427357601002e-15
LEFT,0.49992000000000303,6.779668472006387,1.7448880391202777,True,13.83985984011699,13.678205045839643,3.9968028886505635e-15
RIGHT,0.47990000000000066,6.560884380471723,-1.6774178427591298,True,13.678186448440055,14.346467063692478,-0.011643362341477559
LEFT,0.5999300000000005,8.091886601767438,2.163672825939263,True,13.11353741933771,13.846003245290307,-2.4424906541753444e-15
RIGHT,0.5199599999999975,6.998395027349221,-1.8171438125724382,True,13.668169008096466,13.686679781783704,-4.029766842883475e-06
LEFT,0.560220000000001,7.6543818457590485,1.9891902839074156,True,14.357988545991857,13.685793658050024,4.288296777676948e-06
RIGHT,0.43975000000000364,5.904922169373426,-1.4676416377535668,True,14.370989621241641,13.84304394737557,-0.011640070881737685
LEFT,0.3796300000000059,5.248674404711104,1.2563289951991206,True,13.670934696809836,13.670497098917881,5.2633121145895245e-06
LEFT,0.3998800000000102,5.467403432896109,1.2796412114701843,True,13.68375525718418,13.6772687776855,0.011633963268809666
RIGHT,0.27992000000000417,3.718212964747041,-0.7589123327775409,True,13.118422950208345,13.689182373064321,1.021405182655144e-14
LEFT,0.459549999999993,6.342132618018481,1.5704154297464301,True,13.109057560862414,13.118426445410313,0.01162323685906097
RIGHT,0.40008000000000266,5.467415975040213,-1.3279575392766587,True,14.347377808920168,13.684475358310694,-0.011643721492249903
LEFT,0.47965999999999553,6.341609442869884,1.605304069376327,True,13.83682484446187,13.849730695371738,-6.773473055776691e-07
RIGHT,0.47990000000000066,6.561129513658255,-1.6658084219423512,True,13.680554753240518,13.68412362740135,-0.01164214497100613
LEFT,0.4600500000000096,6.34216739441929,1.5937226987344233,True,13.835082346237096,12.990776994599274,-1.354472090042691e-14
RIGHT,0.5801100000000048,8.091624988990242,-2.1217920028107016,True,13.11456895005709,14.06897266568352,-0.011637920785867895
LEFT,0.5397800000000075,7.435662163579226,1.942695227032241,True,,13.85022421762041,0.011625436638043496
RIGHT,0.5203099999999949,6.998422161971948,-1.8055892884771585,True,13.85022421762041,14.369256525051542,-0.011640752200487992
LEFT,0.400030000000001,5.46742798609315,1.2813188290316577,True,13.670405432870313,14.355618491691532,0.009967612586675778
RIGHT,0.479920000000007,6.560890681924721,-1.6774047089356618,True,14.355984130955958,13.68931427438599,3.198996789022246e-06
LEFT,0.3599799999999931,5.030161283414497,1.1749651484556582,True,13.67991600402374,13.68126032616971,0.011632100647658183
RIGHT,0.4400399999999962,6.123670898265816,-1.5259945544310813,True,13.672689047917988,13.834488789410301,4.755859107641314e-06
LEFT,0.40030000000000143,5.467384313833157,1.291235994662065,True,13.11072416398474,12.989170430524958,0.011622767803185607
RIGHT,0.45992999999999995,6.342416039522406,-1.5959207256715815,True,13.852876886189025,13.842746937500792,-0.011638048464023276
LEFT,0.4599099999999936,6.123650895774593,1.5006037613372167,True,13.842293934784616,13.689677483764065,0.009968002066796544
RIGHT,0.4599199999999968,6.560865273873775,-1.5639179240327648,True,12.990903905151633,13.684265030117805,-0.011654038483102314
LEFT,0.40008000000000266,5.467419692488041,1.2912348526751036,True,13.835682008287126,13.834132994617281,0.0
RIGHT,0.400030000000001,5.467420915212822,-1.3279108857805821,True,13.66230362723225,13.850641820727352,0.0
LEFT,0.48018999999999323,6.5609171248182285,1.6635434650157168,True,13.850662195661556,13.677719134779322,0.009957340351222144
RIGHT,0.4599900000000048,6.123663655336567,-1.4910797260076523,True,13.12489670500963,13.117026955000934,0.0
LEFT,0.6602999999999923,8.966613769180661,2.4428492830804025,True,13.844366413764497,12.990355133981117,-3.385586262449891e-07
RIGHT,0.320139999999995,4.373676539906294,-0.9668970247714603,True,13.849115375956064,13.123559478622957,-0.011646381243021323
