action,tick,pulse_id,window_index,distance_cells,heading_change_radians
RIGHT,1,movement_calibration_steering.csv:5290,1,2.6220869880340336,-0.7323316528500875
RIGHT,2,movement_calibration_steering.csv:5290,2,2.845023303239203,-0.9100130218761384
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5290,0,2.843350774738645,
LEFT,1,movement_calibration_steering.csv:5337,1,2.839939197723296,0.8227459775745322
LEFT,2,movement_calibration_steering.csv:5337,2,2.62715851194123,0.8376282342494785
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5337,0,2.6246147885146396,
RIGHT,1,movement_calibration_steering.csv:5385,1,2.625552811584867,-0.7551192628241983
RIGHT,2,movement_calibration_steering.csv:5385,2,2.8450030452456048,-0.9098485200542081
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5385,0,2.852606231961452,
LEFT,1,movement_calibration_steering.csv:5428,1,2.6315362727345213,0.788862258182365
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5428,0,2.844515199992742,
RIGHT,1,movement_calibration_steering.csv:5473,1,2.844309830119985,-0.8248698533886375
RIGHT,2,movement_calibration_steering.csv:5473,2,2.632903859089891,-0.838221261483604
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5473,0,2.627209617230149,
LEFT,1,movement_calibration_steering.csv:5520,1,2.6254054570006056,0.754370194455721
LEFT,2,movement_calibration_steering.csv:5520,2,2.835536318273968,0.9068931733401207
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5520,0,2.627842707384982,
RIGHT,1,movement_calibration_steering.csv:5564,1,2.6327391549623513,-0.7563716327181006
RIGHT,2,movement_calibration_steering.csv:5564,2,2.8345194370414504,-0.907490286549017
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5564,0,2.839981056531338,
LEFT,1,movement_calibration_steering.csv:5611,1,2.8426198065061223,0.8226864053177881
LEFT,2,movement_calibration_steering.csv:5611,2,2.622494825122659,0.8382737865595067
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5611,0,2.623283070115745,
RIGHT,1,movement_calibration_steering.csv:5655,1,3.0534218186847917,-0.8037839365481076
RIGHT,2,movement_calibration_steering.csv:5655,2,2.6283060051716522,-0.8732736504890769
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5655,0,2.6248220544334924,
LEFT,1,movement_calibration_steering.csv:5720,1,2.621008403303927,0.7539776034361974
LEFT,2,movement_calibration_steering.csv:5720,2,2.8446779011025813,0.90661844306825
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5720,0,2.6243375864588714,
RIGHT,1,movement_calibration_steering.csv:5758,1,2.621526261683046,-0.7871402541814585
RIGHT,2,movement_calibration_steering.csv:5758,2,2.8455613572439566,-0.9066034211430708
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5758,0,2.8427271953122983,
LEFT,1,movement_calibration_steering.csv:5802,1,2.839758115682597,0.7336869973365769
LEFT,2,movement_calibration_steering.csv:5802,2,2.6260475890442256,0.8729710820959218
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5802,0,2.840977475845633,
RIGHT,1,movement_calibration_steering.csv:5852,1,2.625134379247255,-0.6988723724602807
RIGHT,2,movement_calibration_steering.csv:5852,2,2.8377641973152703,-0.8730635740323502
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5852,0,2.622537100139496,
LEFT,1,movement_calibration_steering.csv:5898,1,2.621006831894076,0.7835314113510726
